date,title,price,weight,kind,site,location
2022-08-23 18:49:19,사과 부사 못난이 꿀사과 10kg 5kg 경북 청송 안동 문경,7180,5,부사,Naver,경상북도
2022-08-23 18:49:20,햇 아오리 사과 문경 산지 직송 여름 사과 5kg,6780,5,아오리,Naver,경상북도
2022-08-23 18:49:22,사과 부사 경북 못난이 흠집 꿀사과 껍질째먹는 사과유명한곳 5kg 10kg,3320,5,부사,Naver,경상북도
2022-08-23 18:49:23,경북 못난이 꿀사과 흠집 주스용 쥬스용 5kg 10kg,4180,5,홍로,Naver,경상북도
2022-08-23 18:49:24,털보네 껍질째먹는 꿀사과 흠집사과 못난이 흠과 5kg 10kg,3180,5,부사,Naver,
2022-08-23 18:49:26,사과 햇 홍로 청송 껍질째먹는 추석 사과 5kg,9580,5,홍로,Naver,경상북도
2022-08-23 18:49:27,늘품 경북 가정용 햇사과 못난이 흠집 껍질째먹는 아오리 사과 5kg 10kg,2380,5,아오리,Naver,경상북도
2022-08-23 18:49:29,달농 22년 첫수확 경북 햇 홍로사과 정품 경북 청송 안동 사과 산지직송,6850,2,홍로,Naver,경상북도
2022-08-23 18:49:31,사과 경북사과 부사 못난이 꿀사과 5kg 10kg,3180,5,부사,Naver,
2022-08-23 18:49:32,명품 고당도 경북 청송사과 꿀 부사 못난이 5kg 주스용 추석 설 선물세트 아오리 썸머킹,2860,10,부사,Naver,경상북도
2022-08-23 18:49:34,첫 수확 아오리 햇 사과 2.5kg+2.5g (총 5kg),1980,5,부사,Naver,
2022-08-23 18:49:35,사과 부사 홍로 아오리 못난이 꿀사과 5kg 10kg 경북사과 안동 청송 영천,5580,5,홍로,Naver,경상북도
2022-08-23 18:49:37,국산 경북 풋사과 초록 햇 아오리 사과 4kg,2725,4,아오리,Naver,경상북도
2022-08-23 18:49:39,청송 햇 아오리 사과 껍질째먹는 여름사과 5kg 10kg,6780,5,아오리,Naver,경상북도
2022-08-23 18:49:40,꿀당도 프리미엄 홍로 사과 5kg 14~16과 로얄과 당일수확,6580,5,홍로,Naver,
2022-08-23 18:49:41,껍질째 먹는 경북 세척사과 5kg 28과내,5894,5,,Naver,경상북도
2022-08-23 18:49:42,고당도 프리미엄 거창 홍로 사과 5kg 당도보장,6580,5,홍로,Naver,경상남도
2022-08-23 18:49:43,꿀 경북 청송 햇 사과 부사 홍로 양광 감홍 흠집 못난이사과 추석 설 선물세트,6633,3,홍로,Naver,경상북도
2022-08-23 18:49:45,아삭후르츠 꿀 홍로 부사 사과 문경 안동 장수 경북 청송 사과 3kg,5666,3,홍로,Naver,경상북도
2022-08-23 18:49:47,"문경사과 대박농원 꿀사과 홍로 5kg, 10kg",9980,5,홍로,Naver,경상북도
